Wall time;Step;Value
1615631756.4942226;43;0.72155869
1615631761.8266914;46;0.480965495
1615631814.3499548;72;0.471060425
1615631858.3541296;95;0.365968317
1615631962.223222;159;0.353851497
1615631975.552173;168;0.368737638
1615632056.7682734;230;0.397796661
1615632065.1509252;235;0.38753736
1615632092.4576566;256;0.394290924
1615632123.0594826;274;0.402671158
1615632179.8981133;308;0.426040143
1615632182.6734562;311;0.415283978
1615632200.5480306;319;0.417638451
1615632352.8097558;421;0.346555561
1615632410.713376;461;0.383049071
1615632431.1744153;475;0.348419219
1615632523.3983831;536;0.341789603
1615632571.0107017;564;0.350485831
1615632596.12638;580;0.35911417
1615632606.5066273;587;0.364306867
1615632682.4333816;635;0.380102038
1615632702.176824;648;0.424446911
1615632726.1257546;662;0.42474407
1615632743.1872654;672;0.380670488
1615632807.637193;715;0.366448879
1615632829.6646814;723;0.359258413
1615632903.2692215;772;0.362837583
1615632923.2961397;786;0.362519354
1615632948.4813845;803;0.365533859
1615632957.7454865;809;0.364155203
1615633000.3110633;837;0.362547964
1615633159.0699596;946;0.346673757
1615633196.7196195;972;0.354719073
1615633252.1457226;1006;0.409030378
1615633266.929024;1015;0.417167276
1615633357.118878;1067;0.461814851
1615633428.145818;1104;0.455923915
1615633548.3776667;1181;0.396779656
1615633674.8661637;1262;0.368444413
1615633753.1025484;1317;0.415251791
1615633757.9252405;1319;0.423994422
1615633780.3875742;1334;0.447915912
1615633784.165814;1338;0.460875809
1615633879.502192;1386;0.416944265
1615633894.0792217;1393;0.392272413
1615633971.651409;1437;0.450608879
1615634013.7382848;1467;0.410235077
1615634124.1710455;1524;0.5860852
1615634181.6369247;1553;0.521721482
1615634214.951043;1569;0.461852729
1615634250.1814635;1585;0.493836045
1615634360.6420732;1641;0.46950683
1615634460.3451931;1692;0.538504601
1615634503.3705602;1710;0.579052508
1615634518.2534337;1719;0.51455313
1615634551.6043007;1733;0.586736202
1615634556.1002796;1735;0.562904775
1615634559.235082;1738;0.571103275
1615634659.2906182;1782;0.603040755
1615634790.801433;1845;0.745112956
1615634814.1204367;1854;0.962240577
1615634842.6561012;1867;0.999986887
1615634853.3684924;1870;0.999979019
1615634872.6624303;1878;0.999964416
1615634967.548465;1918;0.999789953
1615635004.2913527;1935;0.998849332
1615635035.1702423;1948;0.998982787
1615635142.5229642;2002;0.802269876
1615635202.5419798;2037;0.456501544
1615635265.1051702;2078;0.559474111
1615635298.5788367;2097;0.461381078
1615635450.1411562;2188;0.496741354
1615635471.7563562;2200;0.493583113
1615635488.448603;2212;0.497905135
1615635516.144022;2232;0.566616774
1615635524.824934;2238;0.530810893
1615635554.84993;2258;0.548265636
1615635563.9334173;2263;0.505163908
1615635638.1952736;2308;0.585301995
1615635660.4063475;2320;0.61110127
1615635721.4949238;2355;0.865839541
1615635784.1863205;2390;0.510578334
1615635784.8286695;2391;0.525056601
1615635857.8109314;2437;0.543849111
1615635883.9901984;2454;0.477696598
1615635890.386624;2456;0.502945602
1615635899.8641725;2461;0.619879842
1615635945.2204752;2486;0.471738726
1615635945.242435;2486;0.484989554
1615635966.0892572;2499;0.515297532
1615635974.5090747;2504;0.590725303
1615636016.3915029;2533;0.536664486
1615636041.6036718;2548;0.474043041
1615636050.2357256;2554;0.460014075
1615636288.2083638;2686;0.554537117
1615636386.9932225;2741;0.455124825
1615636417.0400398;2755;0.50672251
1615636479.8021894;2790;0.493471235
1615636671.914906;2897;0.536633074
1615636801.6141365;2968;0.46705848
1615636878.9915183;3012;0.557444036
1615636928.3114784;3039;0.671170831
1615636936.1675687;3042;0.649261713
1615637040.5720804;3099;0.713073909
1615637158.6229503;3162;0.520608723
1615637224.7268438;3197;0.57048142
1615637287.5429032;3231;0.520701826
1615637310.5668848;3245;0.523389578
1615637312.5600636;3247;0.521235526
1615637318.4433844;3248;0.560528398
1615637423.6450071;3306;0.453555435
1615637596.0109212;3409;0.495024681
1615637669.1295445;3450;0.715984046
1615637727.7180676;3481;0.581966758
1615637965.769623;3601;0.543925524
1615638006.4304059;3619;0.548319101
1615638007.922418;3621;0.543078125
1615638107.4437733;3671;0.49832657
1615638210.6557958;3727;0.465291142
1615638235.1476045;3742;0.502681434
1615638320.0287092;3794;0.544008195
1615638358.338281;3815;0.468705863
1615638369.0480962;3822;0.475862354
1615638448.787709;3865;0.46408084
1615638569.802019;3929;0.489959538
1615638622.0554583;3957;0.48632431
1615638674.6257546;3985;0.464981973
1615638767.5233662;4037;0.491319984
1615638886.633644;4099;0.553565145
1615638905.0041256;4110;0.498262942
1615639072.8183994;4197;0.457620859
1615639085.5018165;4203;0.480672508
1615639136.4179122;4228;0.55258292
1615639145.4417691;4233;0.55964905
1615639208.5517602;4264;0.598000348
1615639288.7035022;4305;0.474035352
1615639314.015491;4318;0.531990051
1615639317.6924088;4320;0.576259732
1615639470.0365174;4401;0.490538538
1615639650.9781723;4493;0.439990401
1615639683.615286;4510;0.481775999
1615639721.3693643;4531;0.50058496
1615639902.3365273;4629;0.548780739
1615639965.1526759;4665;0.47725898
1615639970.5886467;4669;0.463656783
1615639986.0833848;4677;0.447087526
1615640130.8509684;4751;0.492756605
1615640212.477321;4789;0.5076828
1615640239.9598062;4803;0.56225884
1615640316.2404072;4841;0.500100911
1615640342.8932889;4853;0.510694027
1615640435.5360937;4895;0.448931307
1615640572.765969;4963;0.438539475
1615640589.0937223;4972;0.44475919
1615640598.8238838;4975;0.453403175
1615640764.9852264;5051;0.497852534
1615640771.1087344;5053;0.459404826
1615640877.045676;5107;0.468496561
1615640935.146381;5135;0.474761963
1615641140.0418875;5240;0.439168334
1615641315.2347717;5330;0.487086236
1615641342.3528726;5346;0.468764096
1615641369.406124;5360;0.505086005
1615641490.5875382;5421;0.54290098
1615641679.0218735;5516;0.474097848
1615641682.1236336;5518;0.471966296
1615641747.6819675;5550;0.518789828
1615641827.6121225;5588;0.477835327
1615641974.9133387;5665;0.507193029
1615642001.363912;5680;0.463287234
1615642092.2869725;5724;0.467230439
1615642258.0523267;5809;0.49222827
1615642287.2840304;5826;0.538605154
1615642293.5018232;5829;0.534902632
1615642354.8328764;5863;0.466126263
1615642361.479767;5865;0.500050545
1615642370.0712228;5872;0.541285515
1615642441.8710027;5908;0.460132062
1615642487.5184336;5929;0.497612119
1615642542.3102388;5953;0.485976279
1615642617.750211;5991;0.504493296
1615642663.2331104;6011;0.48501119
1615642899.760104;6122;0.619371235
1615642923.847603;6132;0.617384017
1615643031.6992877;6182;0.572313309
1615643072.0201538;6201;0.566707611
1615643099.2909129;6214;0.517548203
1615643115.712192;6220;0.475342155
1615643141.177931;6233;0.493841261
1615643257.5460572;6290;0.499622345
1615643297.560624;6313;0.511192083
1615643309.4743328;6318;0.485139787
1615643356.576279;6342;0.476810485
1615643436.9046214;6377;0.503336549
1615643482.0000095;6401;0.524415553
1615643694.439389;6497;0.503879368
1615643738.043925;6521;0.481058717
1615643866.6082122;6575;0.536402822
1615643928.3625653;6604;0.470962882
1615644041.3948534;6658;0.485213459
1615644127.4722445;6697;0.524550736
1615644132.1014194;6700;0.537849963
1615644160.441758;6712;0.507673979
1615644227.9854267;6743;0.521089077
1615644434.4518747;6847;0.454363525
1615644452.509103;6855;0.479674935
1615644484.6554172;6870;0.499620408
1615644677.6195145;6967;0.494137406
1615644737.1051114;6993;0.496439129
1615644784.8898711;7015;0.509524822
1615644992.6669273;7107;0.488724291
1615645008.082813;7115;0.490743637
1615645090.2373126;7156;0.557464838
1615645232.0599928;7217;0.553090155
1615645296.046018;7248;0.515651226
1615645427.10674;7312;0.510481596
1615645466.7434072;7330;0.486696869
1615645486.0211325;7340;0.481969446
1615645486.2804427;7341;0.498969078
1615645528.2389946;7360;0.542617202
1615645583.2702343;7383;0.569394827
1615645625.1435244;7402;0.528031826
1615645735.4558675;7451;0.532445729
1615645755.3252351;7461;0.505636811
1615645764.3065765;7464;0.535248697
1615645800.6132228;7479;0.491009116
1615645865.3598602;7512;0.48404786
1615646058.9646888;7610;0.487142056
1615646134.9686568;7645;0.487821132
1615646228.5039127;7688;0.558155537
1615646246.52581;7694;0.547023296
1615646402.5324173;7761;0.516494155
1615646465.5313416;7789;0.548128784
1615646484.4496472;7799;0.502283871
1615646560.6849868;7834;0.473567933
1615646715.46307;7901;0.542825222
1615646790.1760542;7933;0.547062695
1615646921.7902613;7992;0.525698721
1615647004.551969;8027;0.578580439
1615647033.348871;8038;0.574559689
1615647058.0636923;8050;0.612715721
1615647098.5535238;8067;0.611615181
1615647385.8266082;8181;0.598333418
1615647475.06573;8216;0.539635599
1615647490.7236602;8222;0.567869842
1615647662.4061527;8291;0.554181755
1615647779.7313936;8335;0.545568228
1615647850.4231362;8364;0.562667966
1615647862.1570895;8369;0.567243576
1615647889.0591168;8378;0.542924643
1615648103.1852765;8468;0.505179346
1615648115.705705;8471;0.482912928
1615648184.8981552;8499;0.537431419
1615648210.0735867;8509;0.541552246
1615648363.5487702;8567;0.576071501
1615648453.1778817;8602;0.512947679
