Wall time;Step;Value
16.156.317.564.942.200;43;3
16.156.317.618.266.900;46;0
16.156.318.143.499.500;72;2
16.156.318.583.541.200;95;2
1.615.631.962.223.220;159;0
1.615.631.975.552.170;168;0
16.156.320.567.682.700;230;2
16.156.320.651.509.200;235;0
16.156.320.924.576.500;256;2
16.156.321.230.594.800;274;0
16.156.321.798.981.100;308;4
16.156.321.826.734.500;311;2
16.156.322.005.480.300;319;0
16.156.323.528.097.500;421;0
1.615.632.410.713.370;461;0
16.156.324.311.744.100;475;3
16.156.325.233.983.800;536;3
16.156.325.710.107.000;564;1
161.563.259.612.638;580;1
16.156.326.065.066.200;587;2
16.156.326.824.333.800;635;1
1.615.632.702.176.820;648;2
16.156.327.261.257.500;662;2
16.156.327.431.872.600;672;1
1.615.632.807.637.190;715;4
16.156.328.296.646.800;723;1
16.156.329.032.692.200;772;1
16.156.329.232.961.300;786;0
16.156.329.484.813.800;803;0
16.156.329.577.454.800;809;0
16.156.330.003.110.600;837;2
16.156.331.590.699.500;946;1
16.156.331.967.196.100;972;2
16.156.332.521.457.200;1006;0
1.615.633.266.929.020;1015;3
1.615.633.357.118.870;1067;3
1.615.633.428.145.810;1104;5
16.156.335.483.776.600;1181;1
16.156.336.748.661.600;1262;2
16.156.337.531.025.400;1317;0
16.156.337.579.252.400;1319;1
16.156.337.803.875.700;1334;2
1.615.633.784.165.810;1338;3
1.615.633.879.502.190;1386;5
16.156.338.940.792.200;1393;4
1.615.633.971.651.400;1437;0
16.156.340.137.382.800;1467;2
16.156.341.241.710.400;1524;5
16.156.341.816.369.200;1553;2
1.615.634.214.951.040;1569;2
16.156.342.501.814.600;1585;2
16.156.343.606.420.700;1641;2
16.156.344.603.451.900;1692;1
16.156.345.033.705.600;1710;3
16.156.345.182.534.300;1719;1
16.156.345.516.043.000;1733;2
16.156.345.561.002.700;1735;6
1.615.634.559.235.080;1738;7
16.156.346.592.906.100;1782;7
1.615.634.790.801.430;1845;7
16.156.348.141.204.300;1854;11
16.156.348.426.561.000;1867;7
16.156.348.533.684.900;1870;7
16.156.348.726.624.300;1878;11
1.615.634.967.548.460;1918;3
16.156.350.042.913.500;1935;7
16.156.350.351.702.400;1948;7
16.156.351.425.229.600;2002;9
16.156.352.025.419.700;2037;2
16.156.352.651.051.700;2078;2
16.156.352.985.788.300;2097;2
16.156.354.501.411.500;2188;7
16.156.354.717.563.500;2200;2
1.615.635.488.448.600;2212;7
1.615.635.516.144.020;2232;2
1.615.635.524.824.930;2238;3
161.563.555.484.993;2258;1
16.156.355.639.334.100;2263;3
16.156.356.381.952.700;2308;2
16.156.356.604.063.400;2320;3
16.156.357.214.949.200;2355;11
16.156.357.841.863.200;2390;2
16.156.357.848.286.600;2391;1
16.156.358.578.109.300;2437;1
16.156.358.839.901.900;2454;1
1.615.635.890.386.620;2456;6
16.156.358.998.641.700;2461;7
16.156.359.452.204.700;2486;3
1.615.635.945.242.430;2486;1
16.156.359.660.892.500;2499;4
16.156.359.745.090.700;2504;1
16.156.360.163.915.000;2533;1
16.156.360.416.036.700;2548;2
16.156.360.502.357.200;2554;2
16.156.362.882.083.600;2686;2
16.156.363.869.932.200;2741;2
16.156.364.170.400.300;2755;1
16.156.364.798.021.800;2790;2
1.615.636.671.914.900;2897;3
16.156.368.016.141.300;2968;11
16.156.368.789.915.100;3012;3
16.156.369.283.114.700;3039;1
16.156.369.361.675.600;3042;2
16.156.370.405.720.800;3099;2
16.156.371.586.229.500;3162;5
16.156.372.247.268.400;3197;3
16.156.372.875.429.000;3231;2
16.156.373.105.668.800;3245;4
16.156.373.125.600.600;3247;4
16.156.373.184.433.800;3248;2
16.156.374.236.450.000;3306;7
16.156.375.960.109.200;3409;3
16.156.376.691.295.400;3450;3
16.156.377.277.180.600;3481;8
1.615.637.965.769.620;3601;2
16.156.380.064.304.000;3619;7
1.615.638.007.922.410;3621;2
16.156.381.074.437.700;3671;3
16.156.382.106.557.900;3727;7
16.156.382.351.476.000;3742;3
16.156.383.200.287.000;3794;2
1.615.638.358.338.280;3815;3
16.156.383.690.480.900;3822;2
1.615.638.448.787.700;3865;4
1.615.638.569.802.010;3929;9
16.156.386.220.554.500;3957;1
16.156.386.746.257.500;3985;7
16.156.387.675.233.600;4037;3
1.615.638.886.633.640;4099;7
16.156.389.050.041.200;4110;3
16.156.390.728.183.900;4197;3
16.156.390.855.018.100;4203;11
16.156.391.364.179.100;4228;8
16.156.391.454.417.600;4233;6
16.156.392.085.517.600;4264;3
16.156.392.887.035.000;4305;5
1.615.639.314.015.490;4318;5
16.156.393.176.924.000;4320;7
16.156.394.700.365.100;4401;7
16.156.396.509.781.700;4493;3
1.615.639.683.615.280;4510;7
16.156.397.213.693.600;4531;2
16.156.399.023.365.200;4629;9
16.156.399.651.526.700;4665;3
16.156.399.705.886.400;4669;3
16.156.399.860.833.800;4677;1
16.156.401.308.509.600;4751;2
1.615.640.212.477.320;4789;10
16.156.402.399.598.000;4803;1
16.156.403.162.404.000;4841;3
16.156.403.428.932.800;4853;11
16.156.404.355.360.900;4895;7
1.615.640.572.765.960;4963;2
16.156.405.890.937.200;4972;4
16.156.405.988.238.800;4975;2
16.156.407.649.852.200;5051;5
16.156.407.711.087.300;5053;13
1.615.640.877.045.670;5107;7
1.615.640.935.146.380;5135;8
16.156.411.400.418.800;5240;3
16.156.413.152.347.700;5330;3
16.156.413.423.528.700;5346;2
1.615.641.369.406.120;5360;4
16.156.414.905.875.300;5421;12
16.156.416.790.218.700;5516;3
16.156.416.821.236.300;5518;3
16.156.417.476.819.600;5550;8
16.156.418.276.121.200;5588;7
16.156.419.749.133.300;5665;4
1.615.642.001.363.910;5680;2
16.156.420.922.869.700;5724;3
16.156.422.580.523.200;5809;7
16.156.422.872.840.300;5826;7
16.156.422.935.018.200;5829;11
16.156.423.548.328.700;5863;2
1.615.642.361.479.760;5865;3
16.156.423.700.712.200;5872;7
16.156.424.418.710.000;5908;3
16.156.424.875.184.300;5929;7
16.156.425.423.102.300;5953;11
1.615.642.617.750.210;5991;4
16.156.426.632.331.100;6011;3
1.615.642.899.760.100;6122;3
1.615.642.923.847.600;6132;7
16.156.430.316.992.800;6182;9
16.156.430.720.201.500;6201;6
16.156.430.992.909.100;6214;9
1.615.643.115.712.190;6220;5
1.615.643.141.177.930;6233;10
16.156.432.575.460.500;6290;5
1.615.643.297.560.620;6313;4
16.156.433.094.743.300;6318;7
1.615.643.356.576.270;6342;5
16.156.434.369.046.200;6377;7
16.156.434.820.000.000;6401;7
1.615.643.694.439.380;6497;8
1.615.643.738.043.920;6521;4
16.156.438.666.082.100;6575;7
16.156.439.283.625.600;6604;7
16.156.440.413.948.500;6658;8
16.156.441.274.722.400;6697;4
16.156.441.321.014.100;6700;8
1.615.644.160.441.750;6712;5
16.156.442.279.854.200;6743;8
16.156.444.344.518.700;6847;5
1.615.644.452.509.100;6855;8
16.156.444.846.554.100;6870;4
16.156.446.776.195.100;6967;2
16.156.447.371.051.100;6993;3
16.156.447.848.898.700;7015;4
16.156.449.926.669.200;7107;8
1.615.645.008.082.810;7115;9
16.156.450.902.373.100;7156;3
16.156.452.320.599.900;7217;8
1.615.645.296.046.010;7248;9
161.564.542.710.674;7312;3
16.156.454.667.434.000;7330;9
16.156.454.860.211.300;7340;4
16.156.454.862.804.400;7341;2
16.156.455.282.389.900;7360;12
16.156.455.832.702.300;7383;8
16.156.456.251.435.200;7402;4
16.156.457.354.558.600;7451;4
16.156.457.553.252.300;7461;8
16.156.457.643.065.700;7464;5
16.156.458.006.132.200;7479;6
16.156.458.653.598.600;7512;2
16.156.460.589.646.800;7610;4
16.156.461.349.686.500;7645;13
16.156.462.285.039.100;7688;2
161.564.624.652.581;7694;12
16.156.464.025.324.100;7761;7
16.156.464.655.313.400;7789;11
16.156.464.844.496.400;7799;2
16.156.465.606.849.800;7834;3
161.564.671.546.307;7901;3
16.156.467.901.760.500;7933;8
16.156.469.217.902.600;7992;12
1.615.647.004.551.960;8027;5
1.615.647.033.348.870;8038;9
16.156.470.580.636.900;8050;11
16.156.470.985.535.200;8067;11
16.156.473.858.266.000;8181;4
161.564.747.506.573;8216;9
16.156.474.907.236.600;8222;9
16.156.476.624.061.500;8291;3
16.156.477.797.313.900;8335;8
16.156.478.504.231.300;8364;4
16.156.478.621.570.800;8369;11
16.156.478.890.591.100;8378;3
16.156.481.031.852.700;8468;5
1.615.648.115.705.700;8471;10
16.156.481.848.981.500;8499;10
16.156.482.100.735.800;8509;11
16.156.483.635.487.700;8567;6
16.156.484.531.778.800;8602;5
16.156.485.307.327.000;8635;10
16.156.485.313.095.200;8636;12
16.156.486.929.344.600;8696;6
16.156.489.937.127.900;8820;6
16.156.489.951.790.000;8823;13
16.156.491.468.725.500;8879;11
16.156.492.208.399.700;8905;5
1.615.649.225.934.120;8907;9
1.615.649.268.903.310;8929;8
1.615.649.283.031.470;8936;7
16.156.494.234.978.600;8994;12
16.156.494.415.970.500;8999;2
1.615.649.576.355.100;9056;4
16.156.495.984.307.800;9064;7
1.615.649.992.300.490;9227;8
16.156.500.129.588.000;9234;9
1.615.650.074.345.590;9261;5
1.615.650.225.166.080;9317;14
16.156.502.988.636.900;9349;1
16.156.504.516.590.000;9413;9
1.615.650.461.205.040;9416;14
16.156.505.066.748.700;9436;1
16.156.505.231.850.300;9443;4
16.156.505.971.111.800;9469;6
16.156.507.660.706.200;9539;14
1.615.650.785.198.770;9548;5
16.156.508.067.789.500;9555;21
16.156.508.451.216.400;9568;10
16.156.509.063.335.200;9590;9
16.156.510.003.236.300;9628;11
16.156.510.862.306.800;9658;5
161.565.115.240.618;9681;3
16.156.512.041.419.200;9699;8
16.156.513.825.649.900;9769;6
1.615.651.587.827.660;9844;4
161.565.169.755.095;9884;16
1.615.651.763.715.920;9908;3
16.156.519.284.805.400;9973;10
1.615.652.117.731.330;10051;7
1.615.652.126.325.690;10056;1
16.156.521.341.315.400;10059;4
1.615.652.194.045.370;10085;4
1.615.652.408.771.600;10169;11
16.156.524.502.941.600;10186;14
16.156.526.332.412.900;10257;12
16.156.526.834.795.500;10277;5
1.615.652.698.749.100;10284;10
16.156.529.920.533.800;10397;6
16.156.530.099.762.500;10400;3
16.156.530.669.455.200;10421;10
1.615.653.232.599.700;10480;8
1.615.653.256.185.250;10490;6
16.156.532.727.054.700;10494;5
16.156.533.502.198.400;10523;7
16.156.534.426.311.100;10556;10
1.615.653.584.016.370;10608;11
16.156.536.302.704.900;10625;8
16.156.536.694.230.800;10639;8
16.156.537.200.059.500;10655;13
16.156.537.721.640.200;10672;8
16.156.538.793.792.800;10712;8
16.156.540.267.203.400;10758;18
16.156.540.290.124.800;10759;20
16.156.540.989.535.900;10781;17
16.156.541.122.711.600;10788;18
1.615.654.185.887.070;10816;8
16.156.542.192.112.200;10826;14
16.156.542.622.248.200;10842;5
16.156.542.961.547.300;10851;14
16.156.543.255.848.700;10865;9
16.156.544.389.369.500;10903;16
16.156.544.534.860.300;10906;6
16.156.545.559.358.000;10940;9
16.156.545.696.028.300;10944;12
1.615.654.633.256.230;10967;7
16.156.546.522.600.200;10973;9
16.156.546.605.991.500;10975;17
16.156.547.846.737.100;11015;15
16.156.548.002.264.800;11021;10
16.156.548.395.411.500;11034;14
16.156.548.584.196.900;11039;6
1.615.655.061.325.080;11103;9
161.565.511.676.519;11122;18
16.156.551.534.608.700;11131;14
16.156.552.849.626.500;11176;12
1.615.655.359.094.750;11199;9
16.156.553.677.687.000;11201;6
16.156.553.737.462.400;11202;17
16.156.555.840.397.400;11261;15
16.156.560.782.696.500;11420;4
16.156.562.493.735.100;11473;22
16.156.563.180.943.900;11493;7
16.156.563.782.667.200;11524;3
16.156.564.165.395.300;11533;28
16.156.564.711.597.300;11550;10
16.156.565.254.103.800;11567;9
1.615.656.614.596.590;11598;8
16.156.567.797.704.500;11649;9
16.156.568.534.348.100;11672;6
1.615.656.905.341.500;11686;14
16.156.571.473.408.100;11760;22
16.156.575.301.695.500;11874;14
16.156.578.668.260.100;11970;15
16.156.578.950.531.300;11975;9
16.156.580.238.940.900;12011;17
16.156.581.343.500.700;12042;10
16.156.584.768.648.800;12139;10
16.156.585.612.783.800;12165;16
16.156.585.767.086.600;12169;15
16.156.586.378.239.700;12185;19
161.565.878.666.211;12227;10
16.156.590.827.953.300;12291;15
161.565.909.562.923;12294;9
16.156.591.798.366.000;12310;14
1.615.659.558.909.640;12406;8
16.156.597.382.371.200;12459;12
1.615.660.084.609.150;12554;8
16.156.604.893.856.600;12672;15
16.156.605.849.452.100;12698;16
16.156.607.984.576.700;12759;17
16.156.608.602.929.300;12775;17
16.156.609.793.749.500;12806;14
16.156.612.403.206.200;12878;10
1.615.661.313.425.100;12897;15
16.156.614.707.634.600;12940;27
16.156.615.460.000.400;12960;14
1.615.661.752.393.410;13018;8
16.156.618.213.663.200;13035;10
16.156.619.281.340.600;13062;14
16.156.620.097.131.100;13083;23
16.156.620.540.538.300;13095;9
1.615.662.099.025.350;13110;9
16.156.621.224.032.200;13114;22
16.156.621.865.727.600;13131;17
16.156.623.145.573.500;13167;14
16.156.624.634.322.300;13207;10
16.156.626.082.594.500;13240;20
16.156.630.167.738.500;13350;17
16.156.632.229.716.100;13403;20
16.156.632.433.340.900;13407;26
16.156.633.233.643.300;13427;24
16.156.635.094.154.200;13476;6
16.156.636.252.390.100;13505;24
16.156.637.964.712.200;13547;24
16.156.639.900.976.600;13598;18
16.156.640.704.328.100;13620;12
1.615.664.287.692.260;13680;16
1.615.664.302.870.180;13683;27
16.156.645.695.350.600;13748;17
16.156.646.912.217.600;13777;15
16.156.648.400.142.200;13811;16
16.156.649.660.976.200;13846;24
1.615.665.061.273.030;13869;18
