Wall time;Step;Value
16.151.137.332.788.900;378;0
1.615.113.754.287.750;381;0
16.151.139.499.202.000;407;0.000640479
16.151.141.498.158.200;430;0.000106422
16.151.146.993.218.800;503;0.000327417
1.615.115.212.610.240;565;0
16.151.152.369.121.000;570;0
16.151.153.962.031.100;591;0.000339253
16.151.155.321.095.000;609;0.000319793
16.151.158.000.846.900;644;0.000266705
16.151.158.123.986.400;646;0.000142564
1.615.115.864.979.480;654;0.000206707
16.151.166.279.468.800;757;0.00022112
16.151.170.565.447.200;810;0.000437406
16.151.175.557.627.200;872;0.000458744
16.151.178.961.363.000;915;0.000565155
16.151.179.526.201.300;922;0.000890879
16.151.183.545.796.200;970;0.001184158
16.151.184.539.952.300;983;0.000620411
16.151.186.381.401.500;1007;0.000354359
16.151.189.717.938.300;1050;0.000566698
16.151.190.244.139.400;1058;0.000648126
16.151.193.562.744.100;1107;0.000811648
1.615.119.470.668.400;1121;0.000426554
16.151.195.816.156.900;1138;0.000483875
1.615.119.618.496.380;1144;0.000806381
16.151.198.456.700.000;1172;0.000752177
1.615.120.816.616.700;1307;0.000523223
16.151.211.471.884.000;1350;0.000869835
16.151.215.330.940.500;1402;0.002013069
16.151.218.237.737.300;1440;0.001310417
16.151.223.834.852.400;1516;0.001757149
16.151.229.376.350.700;1597;0.000368018
16.151.234.018.402.600;1652;0.0023099
16.151.234.328.461.900;1655;0.000734677
16.151.235.605.151.700;1669;0.001516946
16.151.235.904.759.800;1673;0.002551802
16.151.239.806.744.000;1721;0.000644237
1.615.124.024.398.220;1728;0.000627526
161.512.438.699.675;1772;0.00058961
16.151.246.004.467.600;1802;0.001075042
16.151.251.164.821.800;1859;0.001226478
1.615.125.368.359.130;1888;0.000827318
1.615.125.505.618.460;1904;0.003360313
16.151.256.454.467.500;1920;0.001703853
16.151.265.603.057.400;2027;0.002580541
1.615.126.808.251.820;2054;0.00140575
16.151.269.359.912.000;2070;0.002138113
1.615.126.963.793.750;2073;0.004792147
16.151.273.231.819.900;2117;0.003706928
16.151.278.602.189.400;2180;0.002291991
1.615.128.038.428.060;2202;0.003729431
16.151.281.271.315.700;2213;0.00046392
16.151.284.371.124.600;2253;0.00126302
16.151.285.688.174.500;2270;0.000880453
16.151.286.561.855.000;2283;0.001574662
16.151.294.131.162.300;2372;0.00183601
16.151.299.111.923.100;2432;0.001588631
161.513.067.592.488;2523;0.000507626
16.151.307.655.317.000;2535;0.001104706
1.615.131.030.342.480;2567;0.000911218
16.151.310.798.398.200;2573;0.001601248
16.151.312.226.197.400;2593;0.004135162
16.151.312.694.174.700;2598;0.004527743
16.151.316.143.657.000;2643;0.002165627
16.151.317.093.679.900;2655;0.002953883
16.151.322.602.927.100;2725;0.002331097
161.513.264.254.064;2772;0.001137696
16.151.327.861.300.100;2789;0.001501967
16.151.328.063.434.200;2791;0.002657912
16.151.328.487.980.000;2796;0.002451567
16.151.330.335.612.400;2821;0.00229582
16.151.330.403.368.100;2822;0.002397799
16.151.331.324.417.800;2834;0.002487741
16.151.331.768.925.900;2839;0.002441104
16.151.334.254.836.500;2868;0.001577437
16.151.335.478.191.100;2883;0.001591384
16.151.335.890.698.000;2889;0.001821889
16.151.346.577.613.300;3021;0.006309179
16.151.351.118.472.200;3076;0.001126538
