Wall time;Step;Value;;;
16.151.139.499.202.000;407;0.0;#NAME?;;
16.151.146.993.218.800;503;0.0;;;
16.151.152.369.121.000;570;0.0;;;
16.151.155.321.095.000;609;0.0;;;8
1.615.115.864.979.480;654;0.0;;;
16.151.166.279.468.800;757;0.0;;;
16.151.189.717.938.300;1050;0.0;;;
16.151.190.244.139.400;1058;0.0;;;
1.615.119.470.668.400;1121;0.0;;;
16.151.195.816.156.900;1138;0.0;;;
1.615.119.618.496.380;1144;0.0;;;
1.615.120.816.616.700;1307;0.0;;;
16.151.229.376.350.700;1597;0.0;;;
16.151.234.328.461.900;1655;0.0;;;
16.151.239.806.744.000;1721;0.0;;;
1.615.124.024.398.220;1728;0.0;;;
1.615.125.368.359.130;1888;0.0;;;
16.151.256.454.467.500;1920;0.0;;;
16.151.281.271.315.700;2213;0.0;;;
161.513.067.592.488;2523;0.0;;;
16.151.307.655.317.000;2535;0.0;;;
1.615.131.030.342.480;2567;0.0;;;
16.151.310.798.398.200;2573;0.0;;;
16.151.316.143.657.000;2643;0.0;;;
16.151.322.602.927.100;2725;0.0;;;
161.513.264.254.064;2772;0.0;;;
16.151.328.063.434.200;2791;0.0;;;
16.151.328.487.980.000;2796;0.0;;;
16.151.331.324.417.800;2834;0.0;;;
16.151.334.254.836.500;2868;0.0;;;
16.151.335.478.191.100;2883;0.0;;;
16.151.351.118.472.200;3076;0.0;;;
16.151.374.779.186.300;3374;0.0;;;
16.151.375.027.650.900;3377;0.0;;;
16.151.379.805.195.500;3435;0.0;;;
16.151.384.973.337.300;3497;0.0;;;
1.615.139.173.606.200;3580;0.0;;;
16.151.396.606.390.400;3641;0.0;;;
16.151.410.883.228.700;3816;0.0;;;
16.151.426.818.470.100;4006;0.0;;;
16.151.438.793.209.000;4150;0.0;;;
16.151.463.059.003.100;4434;0.0;;;
16.151.471.798.348.700;4532;0.0;;;
16.151.483.082.117.000;4653;0.0;;;
16.151.513.834.074.200;5000;0.0;;;
16.151.514.877.606.600;5012;0.0;;;
16.151.526.009.633.600;5138;0.0;;;
16.151.529.456.821.500;5176;0.0;;;
1.615.154.125.378.600;5307;0.0;;;
1.615.157.483.021.170;5695;0.0;;;
1.615.161.715.516.630;6144;0.0;;;
16.151.622.883.855.600;6207;0.0;;;
16.151.655.567.775.900;6549;0.0;;;
16.151.656.031.885.700;6555;0.0;;;
16.151.691.169.256.500;6910;0.0;;;
16.151.717.394.361.800;7182;0.0;;;
16.151.718.098.752.600;7190;0.0;;;
16.151.831.376.883.300;8362;0.0;;;
16.151.849.277.499.100;8551;0.0;;;
16.151.863.749.387.200;8704;0.0;;;
16.151.881.840.366.100;8902;0.0;;;
16.151.893.462.311.500;9031;0.0;;;
16.151.915.185.150.200;9271;0.0;;;
16.151.944.596.067.200;9596;0.0;;;
16.151.963.865.594.800;9804;0.0;;;
16.151.981.861.791.100;9993;0.0;;;
16.151.999.500.431.400;10179;0.0;;;
1.615.201.900.863.160;10394;0.0;;;
16.152.045.266.880.100;10612;0.0;;;
16.152.056.551.273.600;10732;0.0;;;
16.152.065.724.392.000;10825;0.0;;;
16.152.075.739.776.900;10943;0.0;;;
16.152.081.813.859.500;11007;0.0;;;
16.152.085.165.038.500;11047;0.0;;;
16.152.102.999.515.800;11241;0.0;;;
1.615.211.485.852.050;11374;0.0;;;
16.152.122.126.490.200;11457;0.0;;;
16.152.129.112.497.100;11536;0.0;;;
16.152.134.173.953.300;11596;0.0;;;
1.615.214.821.936.180;11755;0.0;;;
16.152.160.018.238.500;11885;0.0;;;
16.152.161.320.334.600;11902;0.0;;;
16.152.199.511.780.900;12310;0.0;;;
16.152.205.430.631.600;12377;0.0;;;
16.152.214.136.770.900;12474;0.0;;;
16.152.218.357.313.600;12520;0.0;;;
16.152.228.276.185.100;12629;0.0;;;
16.152.251.890.984.400;12889;0.0;;;
16.152.265.359.573.200;13035;0.0;;;
16.152.270.463.809.300;13094;0.0;;;
16.152.274.672.362.500;13141;0.0;;;
16.152.282.772.842.900;13232;0.0;;;
16.152.293.754.900.200;13353;0.0;;;
1.615.229.542.050.310;13370;0.0;;;
16.152.304.447.206.100;13466;0.0;;;
1.615.230.739.270.310;13502;0.0;;;
16.152.328.686.977.800;13738;0.0;;;
16.152.329.075.995.900;13742;0.0;;;
16.152.341.802.132.700;13882;0.0;;;
16.152.354.333.612.200;14015;0.0;;;
16.152.365.970.806.900;14146;0.0;;;
16.152.368.846.002.700;14181;0.0;;;
16.152.383.217.172.400;14334;0.0;;;
16.152.409.778.317.700;14630;0.0;;;
16.152.413.265.324.600;14668;0.0;;;
16.152.413.639.545.800;14674;0.0;;;
16.152.431.482.429.200;14866;0.0;;;
16.152.433.766.186.800;14890;0.0;;;
161.524.440.599.771;15004;0.0;;;
16.152.518.872.874.600;15811;0.0;;;
16.152.552.301.868.800;16161;0.0;;;
16.152.688.871.419.400;17575;0.0;;;
161.527.110.418.486;17790;0.0;;;
16.152.766.591.706.500;18317;0.0;;;
16.154.264.417.065.700;30592;0.0;;;
16.155.144.365.131.400;37389;0.0;;;
16.151.137.332.788.900;378;1.0;;;
1.615.113.754.287.750;381;1.0;;;
1.615.115.212.610.240;565;1.0;;;
16.151.158.123.986.400;646;1.0;;;
16.151.170.565.447.200;810;1.0;;;
16.151.178.961.363.000;915;1.0;;;
16.151.183.545.796.200;970;1.0;;;
16.151.186.381.401.500;1007;1.0;;;
16.151.198.456.700.000;1172;1.0;;;
16.151.223.834.852.400;1516;1.0;;;
16.151.235.904.759.800;1673;1.0;;;
161.512.438.699.675;1772;1.0;;;
16.151.246.004.467.600;1802;1.0;;;
1.615.126.808.251.820;2054;1.0;;;
